ID;Nome;Localidade
1;State Farm Arena;Atlanta, Georgia
2;TD Garden;Boston, Massachusetts
3;Barclays Center;Brooklyn, New York
4;Spectrum Center;Charlotte, North Carolina
5;United Center;Chicago, Illinois
6;Rocket Mortgage Fieldhouse;Cleveland, Ohio
7;American Airlines Center;Dallas, Texas
8;Ball Arena;Denver, Colorado
9;Little Caesars Arena;Detroit, Michigan
10;Chase Center;San Francisco, California
11;Toyota Center;Houston, Texas
12;Gainbridge Fieldhouse;Indianapolis, Indiana
13;Crypto.com Arena;Los Angeles, California
14;FedExForum;Memphis, Tennessee
15;FTX Arena;Miami, Florida
16;Fiserv Forum;Milwaukee, Wisconsin
17;Target Center;Minneapolis, Minnesota
18;Smoothie King Center;New Orleans, Louisiana
19;Madison Square Garden;New York City, New York
20;Paycom Center;Oklahoma City, Oklahoma
21;Amway Center;Orlando, Florida
22;Wells Fargo Center;Philadelphia, Pennsylvania
23;Footprint Center;Phoenix, Arizona
24;Moda Center;Portland, Oregon
25;Golden 1 Center;Sacramento, California
26;AT&T Center;San Antonio, Texas
27;Scotiabank Arena;Toronto, Ontario
28;Vivint Arena;Salt Lake City, Utah
29;Capital One Arena;Washington, D.C.
